date,description,amount,category,payment_mode,is_anomaly
2023-06-27,Laundry service - Urban Company,388.68,Personal Care,Debit Card,0
2024-06-27,Petrol - Indian Oil,1548.93,Transport,UPI,0
2024-12-05,Nykaa beauty,1567.58,Shopping,Debit Card,0
2023-10-20,Amazon Prime,150.31,Entertainment,Credit Card,0
2023-12-17,BookMyShow movie (unusual),6293.66,Entertainment,UPI,1
2023-01-18,PVR Cinemas,621.86,Entertainment,Debit Card,0
2023-05-31,Ajio fashion,4922.4,Shopping,Cash,0
2024-12-24,Air India ticket,3272.13,Transport,Credit Card,0
2023-06-10,GeeksForGeeks premium,7312.37,Education,Credit Card,0
2023-02-24,Myntra clothes,3154.65,Shopping,Debit Card,0
2024-04-26,Myntra personal care,602.17,Personal Care,UPI,0
2024-03-25,BYJU's fee,1067.56,Education,Debit Card,0
2024-12-16,Zee5 subscription,1121.62,Entertainment,UPI,0
2023-09-21,LIC premium,19625.1,EMI & Finance,UPI,0
2023-07-25,Croma electronics,741.31,Shopping,Cash,0
2023-01-04,Fastag recharge,1934.91,Transport,UPI,0
2023-07-04,IRCTC train ticket,466.42,Transport,Net Banking,0
2023-07-11,Big Bazaar,1501.55,Shopping,UPI,0
2023-03-14,Manipal hospital,1608.27,Health,Cash,0
2024-08-31,LIC premium,16064.61,EMI & Finance,Debit Card,0
2024-07-21,PVR Cinemas,895.97,Entertainment,UPI,0
2024-06-04,Cafe Coffee Day,1000.76,Food,UPI,0
2024-01-04,Ajio fashion,3635.18,Shopping,Credit Card,0
2023-02-17,YouTube Premium,257.23,Entertainment,UPI,0
2023-07-28,LinkedIn Learning,2444.34,Education,UPI,0
2023-04-20,Netmeds delivery,823.1,Health,Credit Card,0
2024-06-15,Local kirana store,372.13,Groceries,Credit Card,0
2024-12-08,Apollo pharmacy,2039.38,Health,Net Banking,0
2024-03-24,GeeksForGeeks premium,10207.55,Education,Debit Card,0
2024-02-17,Local kirana store,372.51,Groceries,Credit Card,0
2023-01-30,Myntra clothes,5195.74,Shopping,UPI,0
2024-08-12,Thyrocare test,4735.7,Health,UPI,0
2023-02-05,Myntra clothes,4308.59,Shopping,UPI,0
2023-06-01,Gym membership,2051.33,Personal Care,UPI,0
2024-12-04,Coursera subscription,559.59,Education,Cash,0
2024-12-01,Gym membership,344.56,Personal Care,Debit Card,0
2023-10-28,Dunzo grocery,281.57,Groceries,Cash,0
2024-10-28,Meesho purchase,1901.46,Shopping,Debit Card,0
2023-03-24,JioMart,1004.93,Groceries,Debit Card,0
2023-10-11,Amazon India,2486.38,Shopping,UPI,0
2024-08-13,Swiggy Instamart,917.36,Groceries,Net Banking,0
2024-05-06,BigBasket order,1822.52,Groceries,Cash,0
2023-02-19,Kotak credit card,20101.46,EMI & Finance,Debit Card,0
2024-04-13,Zepto delivery,2714.9,Groceries,Debit Card,0
2023-05-01,Mutual fund SIP - Zerodha,8660.58,EMI & Finance,Credit Card,0
2024-10-11,Nykaa skincare,2425.41,Personal Care,UPI,0
2023-03-22,ICICI personal loan EMI,19915.59,EMI & Finance,UPI,0
2024-01-23,HDFC Life insurance,15720.27,EMI & Finance,UPI,0
2024-12-16,1mg order,3522.76,Health,UPI,0
2023-04-13,SBI credit card payment,4948.95,EMI & Finance,Credit Card,0
2024-06-20,Gym membership,1446.8,Personal Care,Cash,0
2023-03-12,Society maintenance,3217.76,Bills & Utilities,Credit Card,0
2023-10-16,Subway (unusual),4440.58,Food,UPI,1
2023-05-23,Term insurance premium,7157.56,EMI & Finance,Cash,0
2023-03-10,Ola outstation,1283.62,Transport,Cash,0
2023-12-29,BookMyShow movie,635.2,Entertainment,UPI,0
2024-01-31,Myntra personal care,164.41,Personal Care,UPI,0
2023-05-24,SIP - Groww,17120.9,EMI & Finance,UPI,0
2023-03-06,Gaming - Steam,1029.47,Entertainment,UPI,0
2024-05-08,YouTube Premium,1215.95,Entertainment,Credit Card,0
2023-11-01,Jio recharge,3289.86,Bills & Utilities,Debit Card,0
2024-03-10,KFC order,598.56,Food,Debit Card,0
2023-12-12,Manipal hospital,2907.99,Health,Credit Card,0
2024-07-25,Fortis hospital,1126.97,Health,UPI,0
2023-06-21,BMTC bus pass,2866.44,Transport,UPI,0
2023-07-12,Fastag recharge,3697.95,Transport,UPI,0
2023-05-01,BSNL broadband,898.97,Bills & Utilities,UPI,0
2023-08-17,Gaming - Steam,1185.05,Entertainment,UPI,0
2023-10-03,Rapido bike (unusual),17284.81,Transport,UPI,1
2024-06-22,Piped gas bill,652.88,Bills & Utilities,UPI,0
2024-02-18,Air India ticket,3366.31,Transport,UPI,0
2023-02-10,Manipal hospital,4597.72,Health,Net Banking,0
2023-08-28,Laundry service - Urban Company,1157.11,Personal Care,Net Banking,0
2023-07-30,Dunkin Donuts,1028.72,Food,Net Banking,0
2023-06-24,Gaming - Steam,601.25,Entertainment,UPI,0
2024-11-22,DTH recharge - Tata Sky,2127.78,Bills & Utilities,UPI,0
2023-07-28,Gaming - Steam,791.3,Entertainment,UPI,0
2023-04-06,PVR Cinemas,986.71,Entertainment,Net Banking,0
2023-06-19,Doctor consultation fee,3377.48,Health,Debit Card,0
2023-01-27,Nykaa skincare,1685.27,Personal Care,Credit Card,0
2024-09-15,SIP - Groww,13089.0,EMI & Finance,UPI,0
2023-02-25,Rapido bike,3035.85,Transport,Credit Card,0
2024-08-17,Swiggy Instamart,1272.25,Groceries,UPI,0
2024-03-17,Uber ride,133.69,Transport,UPI,0
2024-10-22,Apollo pharmacy,979.87,Health,UPI,0
2024-10-18,Subway,834.09,Food,Credit Card,0
2024-08-11,PVR Cinemas,431.33,Entertainment,Credit Card,0
2023-03-05,Coaching institute fee,1632.49,Education,Credit Card,0
2023-11-02,Flipkart order,5402.57,Shopping,Debit Card,0
2023-03-11,BookMyShow movie,470.56,Entertainment,UPI,0
2023-04-11,Cult.fit subscription,903.92,Personal Care,UPI,0
2023-03-21,Petrol - Indian Oil,1829.1,Transport,Net Banking,0
2024-01-29,Water tax,2989.5,Bills & Utilities,UPI,0
2023-02-23,Jio recharge,1752.01,Bills & Utilities,Debit Card,0
2023-08-19,Zee5 subscription,1319.46,Entertainment,Debit Card,0
2023-01-31,Sony LIV,1212.24,Entertainment,UPI,0
2023-08-04,Vi recharge,2385.51,Bills & Utilities,UPI,0
2023-03-05,Nature's Basket,1874.27,Groceries,Credit Card,0
2023-12-19,Haldiram's,901.64,Food,UPI,0
2023-11-27,Spotify premium,1255.85,Entertainment,Credit Card,0
2023-07-12,Thyrocare test,3054.32,Health,Net Banking,0
2023-11-24,Unacademy Plus,12783.22,Education,Cash,0
2023-03-28,PVR Cinemas,1235.16,Entertainment,Debit Card,0
2024-03-17,Amazon Prime,850.9,Entertainment,Debit Card,0
2024-01-29,Gaming - Steam,607.48,Entertainment,Credit Card,0
2023-06-11,RedBus ticket,283.43,Transport,Credit Card,0
2023-02-10,Nature's Basket,2154.79,Groceries,UPI,0
2023-09-05,Local kirana store,2250.77,Groceries,UPI,0
2023-12-05,Lifestyle store,1868.83,Shopping,UPI,0
2023-02-25,Piped gas bill,932.91,Bills & Utilities,Credit Card,0
2023-10-30,GeeksForGeeks premium,7888.08,Education,Debit Card,0
2023-05-26,Piped gas bill,3237.81,Bills & Utilities,UPI,0
2023-08-08,HDFC Life insurance,17087.36,EMI & Finance,Debit Card,0
2023-11-09,McDonald's,362.68,Food,Debit Card,0
2023-12-18,Laundry service - Urban Company,1458.74,Personal Care,UPI,0
2024-04-02,TATA Power bill,1272.8,Bills & Utilities,Credit Card,0
2023-08-30,Barbeque Nation,494.99,Food,UPI,0
2024-05-15,Thyrocare test,2012.47,Health,Credit Card,0
2023-05-16,Subway,306.6,Food,Credit Card,0
2024-06-12,Vi recharge,310.91,Bills & Utilities,Credit Card,0
2023-02-07,Dominos Pizza,246.05,Food,Credit Card,0
2023-12-03,Metro card recharge,2537.2,Transport,Credit Card,0
2024-01-13,Local kirana store,224.91,Groceries,Credit Card,0
2024-11-29,Diagnostic lab - SRL,198.26,Health,Debit Card,0
2023-03-09,Petrol - HP pump,539.46,Transport,Credit Card,0
2023-11-14,Water tax,2843.63,Bills & Utilities,Debit Card,0
2024-01-11,GeeksForGeeks premium,10669.05,Education,UPI,0
2024-03-28,PPF deposit,3495.65,EMI & Finance,UPI,0
2024-05-21,Pizza Hut,1085.66,Food,Cash,0
2023-11-20,Fortis hospital,2310.52,Health,UPI,0
2023-11-23,Hotstar subscription,347.87,Entertainment,UPI,0
2023-05-09,Swiggy order,961.21,Food,UPI,0
2024-12-14,Yoga class fee,1028.2,Personal Care,Debit Card,0
2024-12-03,DMart grocery,5345.26,Shopping,UPI,0
2024-05-08,Airtel recharge,1048.0,Bills & Utilities,Debit Card,0
2023-04-16,BMTC bus pass (unusual),16581.29,Transport,Debit Card,1
2024-08-29,Jio recharge,567.56,Bills & Utilities,UPI,0
2024-01-18,Petrol - HP pump,3879.98,Transport,Cash,0
2024-12-15,Practo consultation,516.89,Health,Credit Card,0
2023-03-17,BSNL broadband,1251.77,Bills & Utilities,Cash,0
2023-09-02,Metro card recharge,3159.11,Transport,Debit Card,0
2024-05-10,DTH recharge - Dish TV,1661.14,Bills & Utilities,UPI,0
2023-01-07,PPF deposit,10645.97,EMI & Finance,UPI,0
2024-01-17,Croma electronics,3506.75,Shopping,UPI,0
2023-03-02,Manipal hospital,2458.66,Health,Net Banking,0
2024-02-29,Books - Amazon,9016.44,Education,Debit Card,0
2023-04-02,Kotak credit card,16855.65,EMI & Finance,Net Banking,0
2023-08-05,Thyrocare test,368.43,Health,UPI,0
2023-06-01,Unacademy Plus,1748.36,Education,Debit Card,0
2024-10-26,Myntra personal care,1773.93,Personal Care,Net Banking,0
2024-03-12,Gym membership,1101.6,Personal Care,Credit Card,0
2024-08-06,BlinkIt vegetables,1694.23,Groceries,Debit Card,0
2023-09-15,GeeksForGeeks premium,14270.28,Education,Cash,0
2024-10-12,Amazon Prime,353.27,Entertainment,Credit Card,0
2024-06-17,Spotify premium,1398.83,Entertainment,UPI,0
2023-01-25,Dunzo grocery,2940.88,Groceries,UPI,0
2023-07-26,Salon haircut,216.8,Personal Care,UPI,0
2023-01-20,Fastag recharge,4216.01,Transport,UPI,0
2023-07-11,Water tax,785.51,Bills & Utilities,Credit Card,0
2024-05-05,Water tax,2323.02,Bills & Utilities,UPI,0
2024-10-24,YouTube Premium,883.31,Entertainment,UPI,0
2024-01-05,Air India ticket,540.91,Transport,UPI,0
2024-06-25,IndiGo flight,1748.21,Transport,Cash,0
2024-11-10,Lifestyle store,4168.15,Shopping,UPI,0
2024-09-21,1mg order,3067.0,Health,UPI,0
2024-07-10,BMTC bus pass,1694.4,Transport,UPI,0
2024-09-01,DTH recharge - Tata Sky,2504.98,Bills & Utilities,UPI,0
2023-11-02,Term insurance premium,8144.97,EMI & Finance,UPI,0
2023-07-29,Amazon India,1554.67,Shopping,Credit Card,0
2024-06-19,MedPlus medicine,1137.22,Health,Credit Card,0
2023-04-23,Meesho purchase,3994.48,Shopping,Credit Card,0
2024-06-12,College fee,5956.77,Education,Net Banking,0
2024-05-31,1mg order,631.99,Health,UPI,0
2023-04-08,SIP - Groww,9192.26,EMI & Finance,Debit Card,0
2023-11-29,Practo consultation,664.35,Health,UPI,0
2023-10-03,Laundry service - Urban Company,1744.76,Personal Care,UPI,0
2024-11-01,BookMyShow movie,1111.14,Entertainment,UPI,0
2023-01-10,Swiggy Instamart,1137.31,Groceries,Debit Card,0
2023-12-28,Hotstar subscription,725.43,Entertainment,Debit Card,0
2023-04-27,Zepto delivery,2946.57,Groceries,UPI,0
2024-11-23,Reliance Digital,3757.33,Shopping,Cash,0
2024-12-30,Flipkart order,2643.08,Shopping,Debit Card,0
2023-09-22,Coursera subscription,8836.95,Education,UPI,0
2024-07-19,LinkedIn Learning,4616.95,Education,UPI,0
2023-09-22,BYJU's fee,4759.87,Education,UPI,0
2023-09-21,Metro card recharge,2712.4,Transport,Credit Card,0
2023-05-14,Dunkin Donuts,846.6,Food,Debit Card,0
2023-05-18,Gaming - Steam,236.6,Entertainment,Net Banking,0
2024-02-15,IRCTC train ticket,3676.59,Transport,UPI,0
2024-07-06,Petrol - HP pump,4396.72,Transport,Credit Card,0
2023-03-09,SBI home loan EMI,10951.29,EMI & Finance,UPI,0
2023-10-07,Coursera subscription,4633.41,Education,Debit Card,0
2024-01-13,Spotify premium,1489.34,Entertainment,Credit Card,0
2023-01-25,Unacademy Plus,2683.21,Education,Cash,0
2023-04-10,Petrol - Indian Oil,2702.54,Transport,UPI,0
2023-10-28,College fee,11644.68,Education,UPI,0
2024-06-28,GeeksForGeeks premium,10499.97,Education,Cash,0
2024-04-16,Apollo pharmacy,4307.11,Health,UPI,0
2024-03-18,Rapido bike,3276.58,Transport,Cash,0
2024-06-29,RedBus ticket,2212.66,Transport,UPI,0
2024-03-28,Books - Amazon,3666.6,Education,Credit Card,0
2023-09-08,College fee,9807.66,Education,UPI,0
2023-05-11,Ajio fashion,1111.37,Shopping,UPI,0
2023-10-24,Manipal hospital,1012.93,Health,Debit Card,0
2023-08-28,DTH recharge - Dish TV,3036.7,Bills & Utilities,UPI,0
2024-01-19,Burger King,971.68,Food,UPI,0
2024-09-12,MedPlus medicine,1820.34,Health,Credit Card,0
2024-05-24,Starbucks,937.24,Food,UPI,0
2023-03-09,Sony LIV,280.81,Entertainment,Net Banking,0
2024-10-29,LIC premium,10332.21,EMI & Finance,UPI,0
2024-11-17,Gym membership,1510.25,Personal Care,UPI,0
2024-04-14,KFC order,232.88,Food,Net Banking,0
2023-06-22,Starbucks (unusual),4345.96,Food,Credit Card,1
2023-01-25,Axis Bank credit card bill,9376.98,EMI & Finance,Credit Card,0
2024-04-25,Swiggy Instamart,831.63,Groceries,Cash,0
2024-06-29,Water tax,2662.3,Bills & Utilities,Debit Card,0
2024-02-05,Nykaa skincare,2452.41,Personal Care,UPI,0
2023-07-25,Metro card recharge,1503.9,Transport,UPI,0
2023-01-01,BYJU's fee,6634.24,Education,Cash,0
2023-04-15,Practo consultation,3860.97,Health,UPI,0
2023-04-02,Ajio fashion,1323.47,Shopping,UPI,0
2024-05-14,Spotify premium (unusual),4214.41,Entertainment,UPI,1
2023-04-11,Axis Bank credit card bill,19916.43,EMI & Finance,UPI,0
2023-11-04,Dunzo grocery,1277.99,Groceries,Credit Card,0
2024-05-26,Nykaa beauty,6212.22,Shopping,UPI,0
2023-12-10,Swiggy order,414.2,Food,Credit Card,0
2023-02-10,Reliance Digital,1194.08,Shopping,UPI,0
2024-12-24,Myntra personal care,799.02,Personal Care,UPI,0
2024-08-16,Gaming - Steam,1318.15,Entertainment,Credit Card,0
2024-12-13,Coursera subscription,3106.69,Education,Credit Card,0
2023-06-04,SBI home loan EMI,19712.18,EMI & Finance,Credit Card,0
2024-07-05,Nature's Basket,2204.86,Groceries,Credit Card,0
2024-01-03,JioMart,1736.97,Groceries,Cash,0
2023-08-16,Meesho purchase,2334.44,Shopping,UPI,0
2024-03-08,JioMart,692.1,Groceries,UPI,0
2023-11-30,Haldiram's,316.04,Food,Credit Card,0
2024-05-17,Netflix subscription,1494.91,Entertainment,UPI,0
2023-09-14,Jio recharge,315.04,Bills & Utilities,UPI,0
2023-06-26,IRCTC train ticket,1616.33,Transport,UPI,0
2023-12-07,Myntra clothes,7075.05,Shopping,UPI,0
2024-01-27,Ola outstation,2113.35,Transport,Debit Card,0
2023-02-14,Salon haircut,1225.8,Personal Care,Net Banking,0
2023-12-17,BSNL broadband,955.73,Bills & Utilities,Debit Card,0
2023-09-15,Haldiram's,487.9,Food,UPI,0
2023-12-15,Blinkit grocery,1751.65,Groceries,UPI,0
2023-07-25,Amazon India,3036.94,Shopping,UPI,0
2024-07-20,DTH recharge - Dish TV,2007.76,Bills & Utilities,UPI,0
2024-01-07,Yoga class fee,1272.65,Personal Care,UPI,0
2023-06-01,RedBus ticket,292.69,Transport,Cash,0
2024-03-21,DMart grocery,1115.33,Shopping,Debit Card,0
2023-09-11,Laundry service - Urban Company,1814.44,Personal Care,Credit Card,0
2023-03-24,IRCTC train ticket,2429.09,Transport,Cash,0
2023-08-17,Hotstar subscription,608.04,Entertainment,UPI,0
2023-05-26,SBI home loan EMI,2504.0,EMI & Finance,Credit Card,0
2024-01-05,Piped gas bill,1189.18,Bills & Utilities,Debit Card,0
2023-05-04,DTH recharge - Tata Sky,2683.44,Bills & Utilities,Credit Card,0
2024-10-31,IRCTC train ticket,1488.99,Transport,UPI,0
2024-10-04,Nykaa skincare,1583.46,Personal Care,UPI,0
2023-04-25,Jio recharge,612.8,Bills & Utilities,UPI,0
2023-04-22,Ola cab,1841.66,Transport,UPI,0
2024-12-10,Vi recharge,2997.3,Bills & Utilities,UPI,0
2023-03-24,Practo consultation,2552.31,Health,UPI,0
2024-09-09,BESCOM electricity,2588.32,Bills & Utilities,Credit Card,0
2023-02-12,KFC order,305.78,Food,Debit Card,0
2024-02-20,Zepto delivery,1891.22,Groceries,Credit Card,0
2024-08-21,LinkedIn Learning,7584.17,Education,Credit Card,0
2024-10-17,Air India ticket,334.07,Transport,Cash,0
2023-05-16,Manipal hospital,4188.85,Health,Debit Card,0
2024-12-17,Spencer's retail,2418.17,Shopping,Credit Card,0
2023-08-18,PVR Cinemas,1213.55,Entertainment,UPI,0
2024-02-09,Jio recharge,2092.47,Bills & Utilities,Credit Card,0
2024-02-28,Manipal hospital,3689.66,Health,Cash,0
2023-08-29,Local dhaba,656.69,Food,UPI,0
2023-11-10,Airtel recharge,538.94,Bills & Utilities,Credit Card,0
2024-03-24,Flipkart order,1313.68,Shopping,Credit Card,0
2024-11-26,Fastag recharge,2886.93,Transport,UPI,0
2024-09-03,Ola cab,448.8,Transport,Credit Card,0
2023-02-14,YouTube Premium,346.03,Entertainment,Credit Card,0
2023-10-02,Petrol - HP pump,3274.4,Transport,UPI,0
2024-04-28,College fee,6524.61,Education,UPI,0
2023-06-01,Udemy course,10150.52,Education,Cash,0
2024-05-20,Municipal tax,2583.05,Bills & Utilities,UPI,0
2024-03-05,Nykaa beauty,1473.81,Shopping,UPI,0
2024-05-01,SBI credit card payment,12425.51,EMI & Finance,UPI,0
2023-10-17,LinkedIn Learning,9342.18,Education,UPI,0
2023-02-26,PVR Cinemas,1358.34,Entertainment,UPI,0
2023-03-10,DMart grocery,2211.51,Shopping,Net Banking,0
2023-11-26,Coaching institute fee,7729.52,Education,UPI,0
2024-04-23,Sony LIV,969.2,Entertainment,UPI,0
2023-09-03,SIP - Groww,22473.5,EMI & Finance,Cash,0
2023-11-17,Stationery,2527.9,Education,UPI,0
2023-11-21,Myntra clothes,2055.66,Shopping,UPI,0
2024-09-27,Stationery,6311.84,Education,UPI,0
2023-10-23,Rapido bike,1517.63,Transport,Credit Card,0
2024-12-29,Fortis hospital,3108.43,Health,Credit Card,0
2024-03-28,HDFC Life insurance,14412.37,EMI & Finance,Debit Card,0
2024-06-13,INOX movies,1177.98,Entertainment,Debit Card,0
2023-04-28,Laundry service - Urban Company,672.51,Personal Care,UPI,0
2023-06-11,Practo consultation,2322.37,Health,Credit Card,0
2023-11-01,Apollo pharmacy,508.12,Health,Net Banking,0
2024-09-16,BlinkIt vegetables,2114.03,Groceries,Net Banking,0
2023-03-14,Blinkit grocery,2730.45,Groceries,Net Banking,0
2024-02-11,Netflix subscription,1073.57,Entertainment,Debit Card,0
2024-12-30,McDonald's,737.48,Food,Debit Card,0
2024-09-03,PVR Cinemas,254.31,Entertainment,Net Banking,0
2023-06-11,Flipkart order,7723.25,Shopping,Cash,0
2024-08-27,Croma electronics,7725.63,Shopping,UPI,0
2023-09-16,Manipal hospital,781.98,Health,UPI,0
2024-05-16,Axis Bank credit card bill,19513.89,EMI & Finance,Credit Card,0
2024-09-05,Petrol - Indian Oil,3396.24,Transport,UPI,0
2023-08-16,Sony LIV,305.44,Entertainment,UPI,0
2023-07-03,IndiGo flight,289.41,Transport,UPI,0
2024-08-02,SBI credit card payment,2140.43,EMI & Finance,Net Banking,0
2024-09-18,Laundry service - Urban Company,1994.91,Personal Care,Credit Card,0
2023-12-24,Starbucks,130.53,Food,Debit Card,0
2023-12-18,Ajio fashion,2397.7,Shopping,UPI,0
2023-02-13,Zee5 subscription,108.28,Entertainment,Net Banking,0
2024-07-01,Starbucks,192.58,Food,UPI,0
2024-06-28,Nykaa beauty,6487.46,Shopping,Credit Card,0
2023-02-12,Water tax,1912.11,Bills & Utilities,UPI,0
2024-09-02,Fortis hospital,4258.22,Health,Debit Card,0
2023-03-18,Petrol - Indian Oil,2658.23,Transport,Net Banking,0
2023-02-15,Zee5 subscription,721.92,Entertainment,UPI,0
2024-12-25,Netflix subscription,1288.93,Entertainment,UPI,0
2023-04-28,SBI home loan EMI,3695.82,EMI & Finance,UPI,0
2024-06-22,Gym membership,1500.51,Personal Care,Cash,0
2024-08-12,Big Bazaar,7949.17,Shopping,UPI,0
2024-10-13,Nykaa skincare,2192.84,Personal Care,Credit Card,0
2024-02-12,Air India ticket,3804.77,Transport,UPI,0
2023-09-29,Fortis hospital,1730.01,Health,UPI,0
2024-05-17,LIC premium,15216.73,EMI & Finance,Credit Card,0
2023-08-01,SBI credit card payment,14927.24,EMI & Finance,UPI,0
2024-10-13,Society maintenance,1542.26,Bills & Utilities,UPI,0
2024-05-18,LIC premium,22531.45,EMI & Finance,UPI,0
2024-02-06,JioMart,990.27,Groceries,Debit Card,0
2024-07-08,Practo consultation,546.02,Health,Cash,0
2024-03-02,Croma electronics,7334.98,Shopping,Credit Card,0
2024-09-27,Udemy course,688.0,Education,UPI,0
2024-03-21,Society maintenance,2821.34,Bills & Utilities,Credit Card,0
2023-12-01,Thyrocare test,3673.23,Health,Credit Card,0
2023-04-01,Sony LIV,208.61,Entertainment,Net Banking,0
2023-04-21,Lifestyle store,1502.97,Shopping,UPI,0
2023-04-21,Unacademy Plus,2743.59,Education,UPI,0
2024-07-15,JioMart,1707.31,Groceries,Debit Card,0
2024-10-06,Flipkart order,1880.65,Shopping,UPI,0
2023-05-14,Salon haircut,765.46,Personal Care,Cash,0
2024-07-25,Rapido bike,2220.9,Transport,UPI,0
2023-02-23,Dominos Pizza (unusual),3122.67,Food,Credit Card,1
2024-11-04,YouTube Premium,979.33,Entertainment,UPI,0
2024-11-03,Yoga class fee,2312.17,Personal Care,Net Banking,0
2023-02-13,Swiggy order,460.0,Food,UPI,0
2024-08-11,Big Bazaar,3230.01,Shopping,Credit Card,0
2023-06-28,Lifestyle store,5734.6,Shopping,Debit Card,0
2024-02-15,Netflix subscription (unusual),4201.73,Entertainment,UPI,1
2023-01-12,Salon haircut,2268.6,Personal Care,Credit Card,0
2024-05-05,Netflix subscription (unusual),5010.67,Entertainment,UPI,1
